event_v_event	3'UTR.ADH1B	3'UTR.FGA	3'UTR.PPP1R12B	3'UTR.SEC14L2	3'UTR.SERPINA1	WGD	coding.ACVR2A	coding.ALB	coding.ARID1A	coding.ARID2	coding.AXIN1	coding.BRD7	coding.CTNNB1	coding.FGA	coding.HNF1A	coding.JAK1	coding.KEAP1	coding.PRDM11	coding.PTEN	coding.RB1	coding.RPS6KA3	coding.TP53	coding.TSC1	coding.TSC2	gain_17q	gain_19q	gain_1q	gain_20q	gain_22q	gain_5p	gain_6p	gain_7p	gain_7q	gain_8q	lncrna.G035338	lncrna.NEAT1	lncrna.Z95704.4	lncrna.prom.G085970	lncrna.prom.RP11-1151B14.3	lncrna.prom.Z95704.4	loss_13q	loss_16p	loss_16q	loss_17p	loss_19p	loss_4q	loss_6q	loss_8p	loss_9p	loss_9q	promoter.ALB	promoter.KCNJ12	promoter.KHNYN	promoter.TERT	promoter.ZNF595
loss_19p	0.947256988742,2.72537359473,6.32736941653	1.0607023497,0.901566407859,4.03773124244	0.0,2.67833781449,2.32166218551	2.30189137152,0.629544452426,3.06856417605	1.04186600591,0.99998910098,3.95814489311	33.8328903503,18.5173288296,8.64978082013	0,0,1	1.76117619727,3.11676139482,16.1220624079	1.32706958658,1.33760896307,9.33532145036	0.408014727001,2.70860341879,5.88338185421	0.0227629428804,0.518951261769,17.4582857954	0.990099010765,0.32645488045,3.68344610879	4.25656662798,2.21353865755,20.5298947145	0.212012832462,2.90461536849,1.88337179905	0.0,1.4759279693,0.524072030697	1.50890478974,0.0485158708493,2.44257933941	3.51351874109,1.07164018881,8.41484107009	0.990099009901,3.17007776006e-06,4.00989782002	0.593244120209,0.986225527376,2.42053035242	1.9931976097,4.17796450498,8.82883788532	0.0,0.909601021013,1.09039897899	10.9835829595,16.4797098154,75.5367072251	3.07368963816e-06,0.0,5.99999692631	1.97431504786,2.79987201391,7.22581293823	12.7195976013,9.13981293785,36.1405894609	14.9149732347,11.4287193299,42.6563074354	25.6205554268,17.3693845186,55.0100600546	13.3563835698,10.0808373251,40.5627791051	15.3670534674,6.14017272747,33.4927738051	16.4868599913,11.354760103,39.1583799057	12.4413628377,9.0333164921,39.5253206702	6.70422154463,8.59541958565,35.7003588697	11.6159749375,12.4155211028,29.9685039597	10.2214413509,13.8409659169,62.9375927322	2.36205507029,1.58044375525,8.05750117446	5.7113455783,7.64238505995,34.6462693617	9.87243966432,0.0,0.127560335678	0.0,0.989914359518,2.01008564048	0.0,2.33050764217,4.66949235783	5.94059405941,0.247524752475,0.811881188119	4.87772945437,5.877008022,72.2452625236	3.90329623739,6.86305729192,70.2336464707	4.88925417635,11.3238202569,97.7869255667	0.999999965893,16.2568121935,97.7431878406	na	15.2337819647,3.93092836448,90.8352896708	3.44447089763,10.6735810062,52.8819480961	10.3248203765,4.87890810383,85.7962715197	9.2932279383,3.87758254155,84.8291895202	4.88587106283,8.75258570129,61.3615432359	0.0,0.155084952357,6.84491504764	0.449250117366,8.65154069051,3.89920919212	0.0,3.79455546557e-07,6.99999962054	3.76708845557,13.8467076349,8.38620390955	0.970297026253,14.7950739716,1.23462900217
loss_17p	1.27582487907,1.75341874303,13.9707563779	0.0706033398034,1.84949480469,9.07990185551	0.573852859258,0.402336348496,14.0238107922	3.29199038142,0.912822806934,8.79518681165	1.04187690148,0.0,7.95812309852	66.3564878397,11.9156927265,9.72781943379	3.96039604074,0.392122483263,4.647481476	4.25433442378,1.71713360657,37.0285319697	3.32437377324,0.35485356547,19.3207726613	1.58082295947,0.889328256269,17.5298487843	4.99825633806,2.92585630355,24.0758873584	2.97029703057,0.765168790846,11.2645341786	11.8718483919,1.58828043614,46.539871172	3.19476859607,0.0,6.80523140393	0.0730053284173,0.568259352706,3.35873531888	1.50890478979,0.787008953676,13.7040862565	6.03439819811,0.494276872796,10.4713249291	0.990099009901,3.1700780811e-06,6.00989782002	2.08333311719,0.0,6.91666688281	2.27514445608,0.123269620688,21.6015859232	2.07111818396,0.166017360142,4.7628644559	15.9940336395,10.5589202117,154.447046149	0.990102085113,0.0384110578346,11.9714868571	4.94442550783,0.826476641827,16.2290978503	35.4726861776,11.2541689263,71.2731448961	26.3340245639,13.590154185,62.0758212511	51.2503991732,21.0066760504,115.742924776	30.0512858911,12.7079902632,83.2407238458	36.1506946545,9.65567491813,65.1936304274	35.9816159126,10.5561774713,69.4622066161	33.9754872313,15.4812684914,72.5432442772	33.1232670509,15.3686513588,62.5080815903	35.1511330209,17.3905064719,62.4583605071	29.9013264013,14.9655555043,109.133118094	4.19989228986,1.07994060152,18.7201671086	14.338248538,4.2693378676,89.3924135944	15.8126657862,0.0,1.18733421379	0.993307474988,0.0,10.006692525	0.392761387589,0.0,5.60723861241	13.1237623762,0.0,0.876237623762	10.8165916814,0.971585304703,117.211823014	9.79080163164,2.95507355981,104.254124809	9.83167587897,2.95507355981,170.213250561	na	0.999999965893,16.2568121935,97.7431878406	3.92181876228,10.830924752,177.247256486	0.0,20.5227934542,89.4772065458	1.98348825511,8.85889248358,179.157619261	0.999999965893,10.8927649267,137.107235107	0.0,16.2066553629,86.7933446371	0.0198315773225,0.155084952357,11.8250834703	0.943526990163,14.9088118186,6.14766119126	0.0,3.79469158047e-07,8.99999962053	1.30508181898,26.1225068929,20.5724112882	0.0,35.6293538685,3.37064613147
loss_16q	0.143416559686,1.60335243173,14.2532310086	1.0607023497,0.0,7.9392976503	3.50414142147e-16,2.12493756556,8.87506243444	4.28208939132,0.166959728939,7.55095087974	0.0517669960044,1.98968997732,5.95854302668	59.9991636832,16.5045353724,12.4963009445	0.990099009901,0.0,3.0099009901	4.7147587525,4.05105743246,24.234183815	4.31303187442,1.34495257537,22.3420155502	1.2467086213,3.29292775446,9.46036362424	5.96440663267,2.03963230883,33.9959610585	3.09088821421,0.765168790846,10.1439429949	6.20937271207,4.29055979617,24.5000674918	1.21457057627,0.742052268061,7.04337715567	1.06310433832,0.0,1.93689566168	1.50890478974,0.318647912291,8.17244729797	4.54430786986,0.970465101815,8.48522702833	0.990100264606,3.1700780811e-06,5.00989656532	1.49010902284,2.37673739666,5.1331535805	3.2751388894,1.12326405056,23.60159706	1.9801980198,1.21511074785,7.80469123235	13.4962001299,15.3866862427,119.117113627	0.990102083591,0.0,7.00989791641	3.96050181531,1.9695306104,14.0699675743	21.7405681034,9.66221337736,52.5972185193	22.5371478203,13.5728802148,49.8899719649	41.0037973202,24.6525600696,114.34364261	22.340850345,10.1626921092,69.4964575458	31.6090463569,10.4590425447,54.9319110984	29.9261691596,11.1207687403,55.9530621001	19.7471070303,11.2479317355,59.0049612343	25.3119483316,11.0257411126,54.6623105558	25.9317394903,10.4186404904,45.6496200193	23.8268079934,23.0471664401,99.1260255665	3.64326489322,1.02872924271,12.3280058641	15.8386430093,6.13520267181,66.0261543189	14.7592424922,0.0,0.240757507787	0.00320846508687,0.0,7.99679153491	0.105313005371,0.0,4.89468699463	12.1435643564,0.0,1.85643564356	10.8014047871,3.91878907452,115.279806138	5.81947201815,3.88052302732,133.300004955	na	9.83167587897,2.95507355981,170.213250561	4.88925417635,11.3238202569,97.7869255667	8.77227479056,8.76483557715,169.462889632	1.9716154559,17.5600904866,83.4682940575	10.7786684806,12.3064774142,167.914854105	7.81835675531,13.716158988,117.465484257	3.91860805669,18.0879990169,87.9933929265	1.00953245366,0.336822213952,12.6536453324	0.449250117366,14.866780627,6.68396925567	0.0,0.109005296782,8.89099470322	2.07772062548,19.6099029466,17.3123764279	0.970297026253,28.7014752067,2.32822776707
loss_16p	0.285725867337,2.54227626595,8.17199786671	0.0706033398034,0.987453158263,7.94194350193	0.0496991446031,1.12515045881,4.82515039659	0.990099009901,0.629544452426,3.38035653767	2.18900106375e-11,0.0,1.99999999998	42.5140027901,16.6741732323,8.81182397759	0.0,0.0,3.0	1.59623435351,3.76678383738,21.6369818091	3.99423833859,0.990099009901,16.0156626515	1.60412822803,1.01943572471,7.37643604726	4.99762704289,2.03963230883,33.9627406483	1.10078920431,0.297546129935,7.60166466575	4.17785825425,2.84899381089,14.9731479349	0.069433033124,0.944613412621,5.98595355425	0.0730053284173,0.0,1.92699467158	1.02790020165,0.0,1.97209979835	2.52341973118,2.89854196456,4.57803830426	0.990100264606,3.21036600082e-13,4.00989973539	0.593244120209,1.11724065316,3.28951522663	1.00037858413,0.0,5.99962141587	2.9801980198,1.06396109623,3.95584088396	7.70265169298,11.2909400224,73.0064082846	0.990099009901,0.983659724605,2.02624126549	2.98039537052,0.826476641827,12.1931279877	14.2804120304,7.099533878,37.6200540916	14.2633247045,13.1485616366,40.5881136589	30.4034905262,20.3364203158,71.2600891579	13.2354231626,9.50260012808,53.2619767093	15.9069056535,9.6765891234,41.4165052231	18.9705751572,6.51615423376,41.5132706091	14.5121182553,9.90920884337,36.5786729013	15.7063275234,9.14422543383,41.1494470427	14.1972950701,10.4021611445,33.4005437854	16.3221769255,15.8519267854,69.8258962891	2.66810698271,1.87185874739,7.4600342699	9.14786618753,4.41867338963,41.4334604228	6.86780157542,0.0,0.132198424584	0.0,0.0,3.0	0.0,0.698869022991,1.30113097701	5.94059405941,0.0,0.0594059405941	6.85211976501,4.85875474072,80.2891254943	na	5.81947201815,3.88052302732,133.300004955	9.79080163164,2.95507355981,104.254124809	3.90329623739,6.86305729192,70.2336464707	8.71941694485,3.81452362701,121.466059428	1.95928255361,13.6260149427,64.4147025037	9.79406056623,5.84216543004,113.363774004	6.84647907134,7.81953535607,84.3339855726	1.97375873603,10.7507204406,65.2755208234	0.0,9.75213749425e-08,4.99999990248	0.0,9.89648359726,1.10351640274	0.0,0.00400259784051,6.99599740216	0.867081342186,12.1384007528,14.994517905	0.0,17.4072835282,1.59271647177
loss_13q	0.855999844027,1.40658126717,11.7374188888	0.0316329920141,0.0858867504045,5.88248025758	0.0496991446031,1.75207071074e-16,4.9503008554	3.29199038142,0.148960715517,6.55904890306	0.0517667672748,0.97373676322,2.97449646951	37.7098226363,16.951050089,7.33912727473	1.13299414121e-09,0.345571103278,2.65442889559	1.07639594784,5.04693697256,15.8766670796	1.32705605977,0.0,11.6729439402	0.198406987722,1.874151399,7.92744161328	0.0461510958226,2.93443897977,19.0194099244	1.11069019441,0.624001010385,8.26530879521	4.92163936813,3.11625291242,15.9621077195	0.0694330253741,0.820794921709,4.10977205292	0.0730053284173,0.0,4.92699467158	1.50890478974,0.0,2.49109521026	1.01343484394,2.92119445575,3.06537070031	0.990100264606,3.21036600082e-13,4.00989973539	0.0932341072814,0.12714164326,4.77962424946	2.02266364187,0.123269620688,14.8540667374	1.9900990099,0.210623589334,5.79927740076	11.7924055168,14.9034276459,91.3041668373	3.07368963816e-06,0.0,4.99999692631	0.0100983408187,0.21819259068,12.7717090685	18.5000417796,9.19535638069,42.3046018397	20.9771937732,10.7878220405,47.2349841863	32.3060892961,17.1789851285,78.5149255754	17.7288594411,10.3612928785,56.9098476805	21.5098491401,8.89016754297,42.5999833169	19.782274767,8.94908080404,47.268644429	19.9119701189,11.0664881214,43.0215417597	17.6534930963,10.5594333039,41.7870735998	20.9463828885,10.3536300046,35.6999871069	20.1411916137,14.1524698896,70.7063384968	2.36205507029,1.97695195557,10.6609929741	5.90973761028,5.38428541792,47.7059769718	8.8720717268,0.0,1.1279282732	0.0,0.989914359518,2.01008564048	0.515775661466,0.0,4.48422433853	9.91089108911,0.0,1.08910891089	na	6.85211976501,4.85875474072,80.2891254943	10.8014047871,3.91878907452,115.279806138	10.8165916814,0.971585304703,117.211823014	4.87772945437,5.877008022,72.2452625236	11.7621718916,3.92044789034,125.317380218	1.96368071824,10.7285680165,72.3077512652	10.7875092005,7.40421586864,108.808274931	9.78749778764,6.81107266923,95.4014295431	5.88112018927,8.76035882725,75.3585209835	0.840626499031,4.67769686353e-05,10.159326724	0.449250117366,7.73022107978,5.82052880285	0.973736792768,0.0040025978269,6.02226060941	1.30495274847,10.5797932262,9.11525402531	0.0,18.3376516655,0.662348334515
lncrna.prom.Z95704.4	0.0,2.98019594577,1.01980405423	0,0,1	0.0,1.9801980198,0.019801980198	0.0,1.99999880189,2.00000119811	0.0,2.9702970297,1.0297029703	1.75207071074e-16,0.980650304308,2.01934969569	0,0,1	0.0,2.98019662344,1.01980337656	0.0,3.97029702969,1.02970297031	0.0,2.98019801969,1.01980198031	0.990099009901,0.990099009901,1.0198019802	0.0,0.990099009901,2.0099009901	0.0,4.96039596489,2.03960403511	0.0,0.990099009901,1.0099009901	0.0,0.0,2.0	0.0,1.9801980198,0.019801980198	0.990099009901,3.9603960396,0.049504950495	0.0,0.0,2.0	0,0,1	0.0,1.9801980198,3.0198019802	0.0,0.999999999998,1.0	0.0,12.1732097147,1.82679028533	0,0,1	0.0,0.0,2.0	0.0,9.02859197807,1.97140802193	0.0,6.11092713144,0.889072868557	0.305072196436,15.901686164,1.79324163951	1.32615926688,8.91831325667,0.755527476449	0.515131304915,7.99657604043,0.488292654659	0.931706649197,10.6320812603,0.436212090472	0.0,11.7910904506,1.20890954935	0.0,8.9207688035,0.079231196499	0.0,8.94585353522,0.054146464778	0.696134860216,10.962564531,1.34130060875	0.0,1.9801980198,2.0198019802	0.0,8.91089108989,5.08910891011	0.0,0.0,2.0	0.0,0.990099009901,1.0099009901	0.0,1.9801980198,0.019801980198	na	9.91089108911,0.0,1.08910891089	5.94059405941,0.0,0.0594059405941	12.1435643564,0.0,1.85643564356	13.1237623762,0.0,0.876237623762	5.94059405941,0.247524752475,0.811881188119	10.1534653465,0.0,1.84653465347	6.19306930693,0.0,0.806930693069	15.0849115578,0.0,0.915088442204	7.18316831683,0.0,0.816831683168	2.9702970297,0.247524752475,0.782178217822	0.990099009901,0.0,1.0099009901	1.9801980198,0.0,2.0198019802	0,0,1	4.95050010068,0.0,2.04949989932	0.0,0.0,6.0
lncrna.prom.RP11-1151B14.3	1.72585301952e-09,0.0,2.99999999827	0,0,1	0.990099009901,0.0,2.0099009901	2.9702970297,0.0,1.0297029703	0.0,0.0,2.0	3.28169281003,0.531901017775,0.186406172198	0.0,0.0,2.0	1.07202702177,0.287448382027,2.64052459621	0.990099009901,0.0,1.0099009901	0.0245810923815,4.55336927037e-06,1.97541435425	0.0,0.0,2.0	0.0,0.0,2.0	0.0,1.44463189675e-10,3.99999999986	0.0,0.0,3.0	0.0,0.0,2.0	0.0,0.0,2.0	0,0,1	0.0,0.0,2.0	0.990099009901,0.105313005359,0.90458798474	0.990099009901,0.0,2.0099009901	0.0,0.045875170377,1.95412482962	0.172243586423,0.360146301358,11.4676101122	0,0,1	0,0,1	2.5891491004,0.329114544354,3.08173635525	1.54621318794,0.66874701738,1.78503979468	3.75209137043,1.69611911384,10.5517895157	1.81231183851,0.401908244717,4.78577991677	0.145982025611,0.323323461434,1.53069451296	2.55892602051,0.228333085093,1.21274089439	2.36597006117,0.105313005521,4.52871693331	2.54142693717,0.0604587409827,1.39811432185	2.97484993478,1.26848404534,1.75666601988	2.47302535,0.704056129863,2.82291852013	0.0,0.0,3.0	0.0819280118701,0.0,10.9180719881	1.9801980198,0.0,0.019801980198	0,0,1	na	0.0,1.9801980198,0.019801980198	0.515775661466,0.0,4.48422433853	0.0,0.698869022991,1.30113097701	0.105313005371,0.0,4.89468699463	0.392761387589,0.0,5.60723861241	0.0,2.33050764217,4.66949235783	0.621088666987,0.0,9.37891133301	0.0,1.44959512016,0.550404879841	0.0,0.780797034861,5.21920296514	0.333640284769,0.99017430554,2.67618540969	0.228327279398,1.87108682756,1.90058589305	0,0,1	0.0,0.990099009901,1.0099009901	0.0,0.0,2.0	0.0,0.990099009901,2.0099009901	0.0,2.9702970297,1.0297029703
lncrna.prom.G085970	0.990099009901,0.0,1.0099009901	0.0,0.0,2.0	1.75207071074e-16,1.75207071074e-16,2.0	0.0,0.0,2.0	0.0,0.0,2.0	0.985283189176,0.00271849331794,1.01199831751	0.0,0.0,3.0	0.0,0.0,3.0	0.0,0.0,3.0	0,0,1	0.990099009901,0.0,1.0099009901	0.0,0.0,2.0	0.990099009901,0.0,3.0099009901	0.0,0.0,2.0	0.990099009901,0.0,1.0099009901	0.0,0.0485158708493,3.95148412915	1.9801980198,0.0,1.0198019802	0,0,1	0.0,0.0,2.0	0,0,1	0,0,1	0.0,0.993300559847,8.00669944015	0.0,0.0,3.0	0.990099009901,0.0,2.0099009901	0.905212675943,1.25921402369,2.83557330037	0.329470730101,0.13725389003,1.53327537987	3.22572300151,2.21675133406,6.55752566443	3.52722182326,0.402717116057,4.07006106068	0.843449271311,0.00128565385105,1.15526507484	2.12744474018,0.220754523991,1.65180073583	1.50739708911,1.08075206092,2.41185084996	1.26033381753,0.273493472595,1.46617270987	1.24636504284,1.61523187283,2.13840308433	1.92416333785,1.59413793563,5.48169872652	0.0,0.00317263064076,1.99682736936	0.990099009901,0.990099009901,9.0198019802	0,0,1	na	0,0,1	0.0,0.990099009901,1.0099009901	0.0,0.989914359518,2.01008564048	0.0,0.0,3.0	0.00320846508687,0.0,7.99679153491	0.993307474988,0.0,10.006692525	0.0,0.989914359518,2.01008564048	0.993307474988,0.0,4.00669252501	0.0,0.0,3.0	0.0,0.989914359518,9.01008564048	0.0,0.0,3.0	0.0,0.0,2.0	0.0,0.0,2.0	0.0,2.97998883325,1.02001116675	0.0,0.0,2.0	0.333266302375,3.9603960396,2.70633765802	0.0,0.990099009901,1.0099009901
lncrna.Z95704.4	0.0,2.97951645308,0.0204835469163	0.0,1.9801980198,0.019801980198	0.0,1.00495116457,0.995048835433	0.0,0.0,2.0	0,0,1	0.0,4.0,-1.60982338571e-14	0.0,0.990099009901,1.0099009901	0.0,0.999999999999,1.0	0.0,0.999999999998,1.0	0.0,2.98057898864,0.0194210113608	0,0,1	0,0,1	0.0,2.9702970297,0.029702970297	0.0,0.99999999981,1.00000000019	0.0,0.0,2.0	0.0,2.98019801979,0.0198019802061	0.0,0.990099009901,1.0099009901	0.0,0.990099064329,1.00990093567	0.0,1.98502433882,1.01497566118	0.0,1.9801980198,0.019801980198	0.0,2.99987620588,0.000123794122599	0.990099009901,14.8790463934,2.1308545967	0.0,0.990099009901,1.0099009901	0,0,1	0.506322773306,6.89199487746,0.601682349238	0.630216472979,6.98981979748,0.379963729538	1.74406643299,9.8819727169,0.373960850109	0.0,7.92459525411,0.0754047458866	0.611166044972,5.96570047243,0.423133482596	0.0,4.69172370792,0.308276292081	0.0,8.57113151413,0.428868485868	1.65872875774,5.59377362168,0.74749762058	1.70199336621,5.96199575552,0.336010878268	0.0,9.46447463502,0.535525364982	0.0,3.96039603961,0.0396039603939	0.0,5.86811512536,1.13188487464	na	0,0,1	1.9801980198,0.0,0.019801980198	0.0,0.0,2.0	8.8720717268,0.0,1.1279282732	6.86780157542,0.0,0.132198424584	14.7592424922,0.0,0.240757507787	15.8126657862,0.0,1.18733421379	9.87243966432,0.0,0.127560335678	15.8712871287,0.0,1.12871287129	11.8182966249,0.0,0.181703375079	10.8182966249,0.0,0.181703375079	7.91631377611,0.0,0.0836862238942	6.9262147662,0.0,0.0737852337952	0.990099009901,0.0,1.0099009901	2.9702970297,0.0,1.0297029703	0.990099009901,0.0,1.0099009901	0.0,0.0,4.0	0.0,0.0,5.0
lncrna.NEAT1	0.163759053144,2.30946205466,10.5267788922	0.0359112957719,1.26212096533,8.70196773889	0.990099009901,3.04645232684,15.9634486633	6.93069306931,0.440029071442,10.6292778593	0.990099009901,1.02122715675,9.98867383335	24.0172005541,10.4799441895,4.50285525645	1.9801980198,2.16270236348,4.85709961672	2.89604111521,3.3553921466,20.7485667382	2.9801980198,1.10612358222,18.913678398	0.0,2.47126247582,7.52873752418	3.9603960396,1.6099831912,7.4296207692	1.15860150072,0.0,8.84139849928	5.15846485151,6.12856585118,38.7129692973	2.23893607773,1.05002488705,8.71103903522	0.425819976362,0.0,5.57418002364	7.96465625238e-07,3.15625612939,11.8437430741	4.9673118619,0.362346596139,6.67034154196	0.990099009901,0.0335438606312,4.97635712947	0.990099009901,0.0,4.0099009901	0.990296072685,2.01876949701,10.9909344303	0.0,0.095836515293,3.90416348471	5.60162165955,13.6563238063,74.7420545342	0.0,0.126828342413,8.87317165759	3.17075604089,1.64144915038,12.1877948087	23.1507928552,12.259248758,34.5899583868	15.2417942521,11.2839931938,27.474212554	31.408566374,24.3633870581,57.2280465679	19.3001230492,16.2680949054,35.4317820454	21.2241659518,10.5415394544,29.2342945938	23.7209116361,9.74145281464,28.5376355493	22.984133333,14.3993212514,29.6165454156	21.6817535045,14.9815879154,26.3366585801	23.6450916833,17.9274161191,27.4274921976	19.9655945478,20.2137122514,55.8206932008	1.98019803142,1.04005904731,14.9797429213	na	0.0,5.86811512536,1.13188487464	0.990099009901,0.990099009901,9.0198019802	0.0819280118701,0.0,10.9180719881	0.0,8.91089108989,5.08910891011	5.90973761028,5.38428541792,47.7059769718	9.14786618753,4.41867338963,41.4334604228	15.8386430093,6.13520267181,66.0261543189	14.338248538,4.2693378676,89.3924135944	5.7113455783,7.64238505995,34.6462693617	12.7273615425,5.14241659142,71.1302218661	7.43107612822,8.06320435826,43.5057195135	15.1953585523,5.74783614822,89.0568052995	9.00999179418,3.0525439457,58.9374642601	5.99765455158,6.79230959969,41.2100358487	3.00521092821,0.148601133205,7.84618793858	0.990099009901,9.91089108911,9.09900990099	0.352705872484,1.3957298161e-08,9.64729411356	2.8432364355,9.90099009901,16.2557734655	0.0,22.7196091584,5.28039084164
lncrna.G035338	0.0,0.404429719219,1.59557028078	0.0,1.07273695318,2.92726304682	0.0,0.0,5.0	0.990099009901,0.113758927444,1.89614206266	0.0,0.0466110396618,1.95338896034	7.48780612614,1.81546382655,0.696730047304	0,0,1	1.9801980198,1.1493156723,1.8704863079	1.0679586019,0.0,3.9320413981	0.0,0.791783587441,4.20821641256	0.990099009901,1.15973423678,4.85016675332	0.00346131958032,0.440851727955,3.55568695246	0.732911475163,0.523333956259,6.74375456858	0.0,0.404429711586,2.59557028841	0.0,0.0,2.0	0.0,0.0,2.0	1.05629409198,0.0359290372987,2.90777687072	0.0,0.0,2.0	0.990099009901,0.123697195296,2.8862037948	0.0,0.0,2.0	0.0,0.045875170377,1.95412482962	1.80846131716,4.1356164203,22.0559222625	0.0,0.121276955754,3.87872304425	0.0661950820801,0.990099009901,0.943705908019	4.92791760678,2.76269410552,7.3093882877	6.81234501477,6.00361163788,9.18404334735	5.01694231461,2.57714396691,14.4059137185	6.39114431865,3.16889826967,9.43995741168	7.59498796061,4.05885493177,7.34615710762	6.5791679473,2.48214423051,6.93868782219	6.74457341405,3.7442030408,11.5112235451	6.92672227363,3.19119875365,7.88207897272	5.73550534022,3.65586228001,7.60863237977	4.84992904526,3.18573954452,16.9643314102	na	1.98019803142,1.04005904731,14.9797429213	0.0,3.96039603961,0.0396039603939	0.0,0.00317263064076,1.99682736936	0.0,0.0,3.0	0.0,1.9801980198,2.0198019802	2.36205507029,1.97695195557,10.6609929741	2.66810698271,1.87185874739,7.4600342699	3.64326489322,1.02872924271,12.3280058641	4.19989228986,1.07994060152,18.7201671086	2.36205507029,1.58044375525,8.05750117446	3.13321456099,1.06504377076,21.8017416682	3.58750140432,1.86839742781,9.54410116787	1.35015697245,2.16068449552,18.489158532	4.70894702701,2.52541059455,13.7656423784	3.21690221457,1.54168773538,10.2414100501	0.0983311274674,0.0,1.90166887253	0.0,0.999997663654,1.00000233635	0.0,0.0,2.0	2.67764883169e-06,3.05956285576,2.94043446659	0.0,7.92079207921,1.07920792079
gain_8q	1.61483649291,2.69832661583,7.68683689125	1.17527084088,4.12271140272,5.7020177564	0.465868543838,5.2083329499,10.3257985063	4.24487655249,0.781064866069,5.97405858145	2.04486062211,0.0,9.95513937789	47.617637635,12.7431626946,13.6391996704	0.0848591263901,3.14875707702,2.76638379659	5.48751413625,5.09376038545,25.4187254783	8.22239334416,6.70422873269,15.0733779231	2.01450559778,1.04899022111,11.9365041811	5.05774178313,7.4598737422,19.4823844747	3.31593572483,3.69770469965,8.98635957552	12.3756912253,7.81772711316,36.8065816615	2.69785883403,2.37303313784,5.92910802813	1.11495068518,1.98657071894,0.898478595878	2.92200388534,4.05622225361,12.0217738611	4.22167900285,3.09777917126,7.68054182589	1.20133233674,1.26716114869,6.53150651458	0.0,1.05871333313,2.94128666687	3.13509744101,1.20378036444,5.66112219455	1.3219278975,1.63585215905,4.04221994345	17.2598655569,30.3514061858,78.3887282573	1.93622294765,2.80694820617,5.25682884619	4.60440149285,4.52170351873,9.87389498842	33.5627960385,23.8351846173,52.6020193442	26.9691894912,17.484857014,60.5459534948	41.5575442244,31.1926018121,98.2498539635	30.7865195699,20.8601096912,69.3533707389	34.4526879322,13.8964694588,54.650842609	29.9298444236,10.9443953491,71.1257602273	30.7636873517,16.819616678,67.4166959703	32.7606342746,13.3955780738,57.8437876515	29.5361378672,20.3715851483,49.0922769844	na	4.84992904526,3.18573954452,16.9643314102	19.9655945478,20.2137122514,55.8206932008	0.0,9.46447463502,0.535525364982	1.92416333785,1.59413793563,5.48169872652	2.47302535,0.704056129863,2.82291852013	0.696134860216,10.962564531,1.34130060875	20.1411916137,14.1524698896,70.7063384968	16.3221769255,15.8519267854,69.8258962891	23.8268079934,23.0471664401,99.1260255665	29.9013264013,14.9655555043,109.133118094	10.2214413509,13.8409659169,62.9375927322	31.2919297402,17.8531348029,93.8549354568	10.2790829405,26.4458696974,55.2750473621	29.9309210216,25.0684531079,114.00062587	22.4607489248,13.6518940886,78.8873569866	12.2810433264,15.9496307517,57.7693259218	1.48731525955,1.08804752347,14.424637217	1.42749637911,10.4872683205,6.0852353004	2.9385922593,0.492478724163,7.56892901654	3.92376147804,20.1937227182,14.8825158037	0.0,34.7364745233,1.26352547667
