chromosome	start	end	gene	minCopyNumber	maxCopyNumber	unused	somaticRegions	germlineHomDeletionRegions	germlineHetToHomDeletionRegions	transcriptId	transcriptVersion	chromosomeBand	minRegions	minRegionStart	minRegionEnd	minRegionStartSupport	minRegionEndSupport	minRegionMethod	minMinorAllelePloidy
chr1	2439972	2458039	PANK4	1.9537	1.9537	0	1	0	0	ENST00000378466	3	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2460184	2461684	HES5	1.9537	1.9537	0	1	0	0	ENST00000378453	3	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2481722	2485589	RP3-395M20.8	1.9537	1.9537	0	1	0	0	ENST00000432521	2	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2487805	2495268	TNFRSF14	1.9537	1.9537	0	1	0	0	ENST00000355716	4	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2512999	2515972	RP3-395M20.9	1.9537	1.9537	0	1	0	0	ENST00000424215	1	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2518214	2522907	FAM213B	1.9537	1.9537	0	1	0	0	ENST00000419916	2	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2522082	2564429	MMEL1	1.9537	1.9537	0	1	0	0	ENST00000378412	3	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2572807	2706236	TTC34	1.9537	1.9537	0	1	0	0	ENST00000401095	3	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2938046	2939465	ACTRT2	1.9537	1.9537	0	1	0	0	ENST00000378404	2	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2976179	2980350	LINC00982	1.9537	1.9537	0	1	0	0	ENST00000321399	3	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	2985775	3355185	PRDM16	1.9537	1.9537	0	1	0	0	ENST00000270722	5	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	3370990	3397677	ARHGEF16	1.9537	1.9537	0	1	0	0	ENST00000378378	4	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	3406490	3528059	MEGF6	1.9537	1.9537	0	1	0	0	ENST00000356575	4	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	3477259	3477354	MIR551A	1.9537	1.9537	0	1	0	0	ENST00000385042	1	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	3541566	3546691	TPRG1L	1.9537	1.9537	0	1	0	0	ENST00000378344	2	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	3547331	3566637	WRAP73	1.9537	1.9537	0	1	0	0	ENST00000270708	7	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	3569084	3652765	TP73	1.9537	1.9537	0	1	0	0	ENST00000378295	4	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	3652548	3663886	TP73-AS1	1.9537	1.9537	0	1	0	0	ENST00000452079	1	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	3668962	3688208	CCDC27	1.9537	1.9537	0	1	0	0	ENST00000294600	2	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	3689352	3692546	SMIM1	1.9537	1.9537	0	1	0	0	ENST00000444870	2	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	3696784	3713068	LRRC47	1.9537	1.9537	0	1	0	0	ENST00000378251	1	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	3728645	3773763	CEP104	1.9537	1.9537	0	1	0	0	ENST00000378230	3	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	3773845	3801993	DFFB	1.9537	1.9537	0	1	0	0	ENST00000378209	3	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	3805689	3816849	C1orf174	1.9537	1.9537	0	1	0	0	ENST00000361605	3	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	3816968	3833789	LINC01134	1.9537	1.9537	0	1	0	0	ENST00000442673	1	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	4000677	4015322	RP13-614K11.1	1.9537	1.9537	0	1	0	0	ENST00000412674	1	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	4472111	4484747	RP5-1166F10.1	1.9537	1.9537	0	1	0	0	ENST00000423197	1	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	4715105	4852594	AJAP1	1.9537	1.9537	0	1	0	0	ENST00000378191	4	p36.32	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	5624131	5624203	MIR4417	1.9537	1.9537	0	1	0	0	ENST00000579887	1	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	5922732	5922801	MIR4689	1.9537	1.9537	0	1	0	0	ENST00000582517	1	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	5922878	6052531	NPHP4	1.9537	1.9537	0	1	0	0	ENST00000378156	4	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6105981	6161239	KCNAB2	1.9537	1.9537	0	1	0	0	ENST00000378083	3	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6100630	6101399	AL035406.1	1.9537	1.9537	0	1	0	0	ENST00000594544	1	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6161853	6240183	CHD5	1.9537	1.9537	0	1	0	0	ENST00000262450	3	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6245080	6259672	RPL22	1.9537	1.9537	0	1	0	0	ENST00000234875	4	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6266236	6281359	RNF207	1.9537	1.9537	0	1	0	0	ENST00000377939	4	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6281253	6296000	ICMT	1.9537	1.9537	0	1	0	0	ENST00000343813	5	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6297831	6299504	LINC00337	1.9537	1.9537	0	1	0	0	ENST00000429480	2	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6304252	6305638	HES3	1.9537	1.9537	0	1	0	0	ENST00000377898	3	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6307406	6321035	GPR153	1.9537	1.9537	0	1	0	0	ENST00000377893	2	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6324333	6445873	ACOT7	1.9537	1.9537	0	1	0	0	ENST00000377855	2	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6475292	6479979	HES2	1.9537	1.9537	0	1	0	0	ENST00000377834	4	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6484848	6521004	ESPN	1.9537	1.9537	0	1	0	0	ENST00000377828	1	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6489894	6489956	MIR4252	1.9537	1.9537	0	1	0	0	ENST00000585139	1	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6521211	6526235	TNFRSF25	1.9537	1.9537	0	1	0	0	ENST00000377782	3	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6527565	6557156	PLEKHG5	1.9537	1.9537	0	1	0	0	ENST00000537245	1	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6581407	6614595	NOL9	1.9537	1.9537	0	1	0	0	ENST00000377705	5	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6615241	6639817	TAS1R1	1.9537	1.9537	0	1	0	0	ENST00000333172	6	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6640108	6649340	ZBTB48	1.9537	1.9537	0	1	0	0	ENST00000377674	4	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6650784	6662929	KLHL21	1.9537	1.9537	0	1	0	0	ENST00000377658	4	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6673745	6684093	PHF13	1.9537	1.9537	0	1	0	0	ENST00000377648	4	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6684926	6693625	THAP3	1.9537	1.9537	0	1	0	0	ENST00000054650	4	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6694228	6761984	DNAJC11	1.9537	1.9537	0	1	0	0	ENST00000377577	5	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6784697	6787468	RP11-242F24.1	1.9537	1.9537	0	1	0	0	ENST00000432429	1	p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	6845384	7829766	CAMTA1	1.9537	1.9537	0	1	0	0	ENST00000303635	7	p36.23-p36.31	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	7831329	7841492	VAMP3	1.9537	1.9537	0	1	0	0	ENST00000054666	6	p36.23	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	7844763	7905237	PER3	1.9537	1.9537	0	1	0	0	ENST00000361923	2	p36.23	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	7907826	7913491	UTS2	1.9537	1.9537	0	1	0	0	ENST00000054668	5	p36.23	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	7979907	8000926	TNFRSF9	1.9537	1.9537	0	1	0	0	ENST00000377507	3	p36.23	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	8021752	8045565	PARK7	1.9537	1.9537	0	1	0	0	ENST00000493678	1	p36.23	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	8071779	8086368	ERRFI1	1.9537	1.9537	0	1	0	0	ENST00000377482	5	p36.23	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	8377886	8404225	SLC45A1	1.9537	1.9537	0	1	0	0	ENST00000471889	1	p36.23	1	1	8418000	TELOMERE	NONE	BAF_WEIGHTED	0.9286
chr1	8412457	8877524	RERE	1.0166	1.9537	0	3	0	0	ENST00000337907	3	p36.23	1	8418001	8502000	NONE	NONE	BAF_WEIGHTED	0.0219
chr1	8921061	8938749	ENO1	1.9214	1.9214	0	1	0	0	ENST00000234590	4	p36.23	1	8502001	29517000	NONE	NONE	BAF_WEIGHTED	0.9268
